id,path,source,date
43,'data\Screenshot_44.png','http://images.memorix.nl/dag/thumb/500x350/4a90fabb-1d3e-053d-357a-8e473834292b.jpg','1843'
44,'data\Screenshot_45.png','http://images.memorix.nl/dag/thumb/500x350/a6516881-9e44-cdf2-cb04-945e045a52c3.jpg','1843'
45,'data\Screenshot_46.png','http://images.memorix.nl/dag/thumb/500x350/d0676587-7bdd-9f25-be7b-de368877ed47.jpg','1843'
46,'data\Screenshot_47.png','http://images.memorix.nl/dag/thumb/500x350/6ebffe57-e1ea-149b-6de6-59d0b23042ca.jpg','1843'
47,'data\Screenshot_48.png','http://images.memorix.nl/dag/thumb/500x350/a9584634-a048-4997-96fe-4f98c2a3bf53.jpg','1843'
48,'data\Screenshot_49.png','http://images.memorix.nl/dag/thumb/500x350/7d152dbd-98a6-1bba-313b-c87104b51ee6.jpg','1843'
49,'data\Screenshot_50.png','https://www.ldsliving.com/do-photographs-of-the-prophet-joseph-smith-exist/s/82207',''
50,'data\Screenshot_51.png','https://www.ldsliving.com/do-photographs-of-the-prophet-joseph-smith-exist/s/82207',''
51,'data\Screenshot_52.png','https://www.ldsliving.com/do-photographs-of-the-prophet-joseph-smith-exist/s/82207',''
52,'data\Screenshot_53.png','https://www.deseret.com/faith/2022/7/21/23271786/does-image-joseph-smith-exist-what-one-descendant-found-forgotten-family-heirloom-lds',''
53,'data\Screenshot_54.png','https://www.sltrib.com/religion/2022/07/29/is-it-him-or-isnt-it-historians/',''
54,'data\Screenshot_55.png','https://benson.readandnote.com/videos/daguerreotype','1860'
55,'data\Screenshot_56.png','https://www.langantiques.com/university/daguerreotype-2/',''
56,'data\Screenshot_57.png','https://www.artic.edu/artworks/105801/locket',''
57,'data\Screenshot_58.png','https://en.wikipedia.org/wiki/File:Joseph_F_Smith_age_nineteen.PNG',''
58,'data\Screenshot_59.png','https://theworkandtheglory.fandom.com/wiki/Joseph_F._Smith',''
